"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
2000-05-01,ZSY00,538,541.5,495.5,496,-13,558.7344117176373,476.95,395.1655882823627,558.7344117176373,476.95,395.1655882823627,476.95,622.2363636363636,607.18125,877.5,120145,193499,5.6080872245628655,3.1727863291762395
2000-06-01,ZSY00,500.5,512.5,471,471,-25,550.876032548972,473.7,396.5239674510279,550.876032548972,473.7,396.5239674510279,473.7,618.4818181818182,605.52625,877.5,118366,167660,4.489497736017725,3.6954646164060794
2000-07-01,ZSY00,463,467.5,442,442.5,-28.5,527.8779444189299,466.85,405.8220555810701,527.8779444189299,466.85,405.8220555810701,466.85,613.3363636363637,603.83125,877.5,88343,140893,2.6173861833415586,3.906289089466941
2000-08-01,ZSY00,438,479,429.5,479,36.5,519.5645076251482,464.5,409.43549237485183,519.5645076251482,464.5,409.43549237485183,464.5,608.8090909090909,602.17875,877.5,66979,126870,1.7512550584840625,3.9158186344987413
2000-09-01,ZSY00,477,486,449,462.5,-16.5,515.8710844057289,462.8,409.72891559427114,515.8710844057289,462.8,409.72891559427114,462.8,604.0272727272727,600.86625,877.5,87887,149073,0.9043619785770503,3.777947767773601
2000-10-01,ZSY00,461.5,462,441.5,444,-18.5,515.6248511193695,463.15,410.67514888063045,515.6248511193695,463.15,410.67514888063045,463.15,598.709090909091,599.32875,877.5,102159,183899,-0.12255207800075851,3.4000874042350295
2000-11-01,ZSY00,447.5,489,447.5,489,45,518.2015610210924,464.55,410.8984389789076,518.2015610210924,464.55,410.8984389789076,464.55,593.5727272727273,597.87125,877.5,89014,168023,0.1277092267083333,2.9505068363622744
2000-12-01,ZSY00,492,497.5,485,487.5,-1.5,520.37797883709,465.825,411.2720211629099,520.37797883709,465.825,411.2720211629099,465.825,588.3909090909091,596.46125,877.5,89543,177323,0.7492272904792969,2.441674353649804
2001-01-01,ZSY00,485,485.5,444,445,-42.5,520.3339967299848,465.9,411.4660032700151,520.3339967299848,465.9,411.4660032700151,465.9,582.5545454545454,594.51125,877.5,89238,160730,0.5271490103712964,1.8502357367268256
2001-02-01,ZSY00,448,454,437,441.5,-3.5,519.2751840851887,466.65,414.02481591481126,519.2751840851887,466.65,414.02481591481126,466.65,576.709090909091,593.00625,877.5,99711,164017,0.06947685513044632,1.2348345845676678
