"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
1974-02-01,ZSY00,641.25,667.25,610.875,610.875,-28.125,1020.5211816139126,596.8125,173.10381838608737,1020.5211816139126,596.8125,173.10381838608737,596.8125,,,,21998,45044,-10.005077305522292,-5.7572063671223
1974-03-01,ZSY00,632,642.625,600,608.625,-2.25,1018.2585035209718,609.6,200.94149647902833,1018.2585035209718,609.6,200.94149647902833,609.6,,,,23315,43904,-8.258655448728355,-7.340500831748098
1974-04-01,ZSY00,595,595,513,540.875,-67.75,1011.3397607081083,619.35,227.36023929189173,1011.3397607081083,619.35,227.36023929189173,619.35,,,,22613,45316,-6.939806693702096,-8.449853619110701
1974-05-01,ZSY00,537,556.25,520,541.625,0.75,1004.315921564671,628.28125,252.246578435329,1004.315921564671,628.28125,252.246578435329,628.28125,,,,22439,42729,-5.775533862854928,-8.974361908806078
1974-06-01,ZSY00,530.875,584,529,563,21.375,994.1806758538532,639,283.8193241461467,994.1806758538532,639,283.8193241461467,639,,,,23870,46791,-4.588149809700049,-8.870394355141302
1974-07-01,ZSY00,583.875,890,583.875,890,327,1014.2524183892257,664.75625,315.26008161077436,1014.2524183892257,664.75625,315.26008161077436,664.75625,,,,20048,44138,-1.471828266221209,-7.989155931067963
1974-08-01,ZSY00,870,870,716.625,729,-161,1012.0576909828246,680.14375,348.2298090171753,1012.0576909828246,680.14375,348.2298090171753,680.14375,,,,20408,45147,0.2731491130180572,-6.701128490779405
1974-09-01,ZSY00,697.625,863,697.625,863,134,1027.1424452539222,699.19375,371.2450547460777,1027.1424452539222,699.19375,371.2450547460777,699.19375,,,,17699,44849,1.8757086948110242,-5.148109033207525
1974-10-01,ZSY00,858,931,730,805.625,-57.375,1037.277437538317,707.025,376.7725624616829,1037.277437538317,707.025,376.7725624616829,707.025,,,,23797,50987,2.6217631635398675,-3.58538115726222
1974-11-01,ZSY00,790,840.625,693,762.625,-43,1040.2783644581148,717.95625,395.6341355418852,1040.2783644581148,717.95625,395.6341355418852,717.95625,,,,18784,52022,2.550394793214558,-2.1903287018470143
1974-12-01,ZSY00,737.625,767.625,678.625,694.625,-68,1036.6703153478036,714.75625,392.8421846521964,1036.6703153478036,714.75625,392.8421846521964,714.75625,,,,22459,54893,1.677763876309136,-1.0862821101761821
1975-01-01,ZSY00,705.625,705.625,550.25,598,-96.625,940.0143718459432,686.80625,433.5981281540568,940.0143718459432,686.80625,433.5981281540568,686.80625,,,,24131,46682,-0.019563490194848043,-0.3173661986753768
1975-02-01,ZSY00,588.625,612.625,497.625,497.625,-100.375,910.3363083628507,666.1875,422.0386916371493,910.3363083628507,666.1875,422.0386916371493,666.1875,,,,25349,42706,-2.2940685118302255,0.06946328477181238
1975-03-01,ZSY00,506,607,506,607,109.375,871.8035337523695,651.5375,431.2714662476305,871.8035337523695,651.5375,431.2714662476305,651.5375,,,,29451,43088,-3.528534838427369,0.18719828157988794
1975-04-01,ZSY00,601.25,601.25,542.625,549.25,-57.75,861.1990982002429,641.5,421.80090179975707,861.1990982002429,641.5,421.80090179975707,641.5,,,,27225,44392,-4.27851550194314,-0.12465585572254885
1975-05-01,ZSY00,542.875,546.625,498,504,-45.25,863.3443141174407,635.7,408.0556858825594,863.3443141174407,635.7,408.0556858825594,635.7,,,,28246,48548,-4.843601513710979,-0.6931837031368863
1975-06-01,ZSY00,493,528.625,493,506.625,2.625,864.7900450366458,634.23125,403.6724549633543,864.7900450366458,634.23125,403.6724549633543,634.23125,,,,26672,56200,-4.941526355727774,-1.4506542643078637
1975-07-01,ZSY00,501.625,623.625,501.625,576.625,70,864.5870417787496,633.18125,401.77545822125035,864.5870417787496,633.18125,401.77545822125035,633.18125,,,,38497,61714,-4.096111087869005,-2.1970847366866275
1975-08-01,ZSY00,582.25,625,546.625,546.625,-30,864.9180484444017,631.73125,398.54445155559836,864.9180484444017,631.73125,398.54445155559836,631.73125,522.6954545454546,,,36053,63250,-3.1588050110654535,-2.8314402704955177
1975-09-01,ZSY00,543,585,532,553.875,7.25,863.0707820080827,627.475,391.87921799191736,863.0707820080827,627.475,391.87921799191736,627.475,527.2045454545455,,,30878,65574,-2.1905944114725386,-3.2612578580268146
1975-10-01,ZSY00,557,557,448.875,461,-92.875,866.4937658460519,619.98125,373.46873415394816,866.4937658460519,619.98125,373.46873415394816,619.98125,530.1386363636364,,,38334,76078,-2.033480284998852,-3.4850263907828154
1975-11-01,ZSY00,450.875,488.875,450.875,480,19,867.5108901976837,613.55,359.58910980231616,867.5108901976837,613.55,359.58910980231616,613.55,533.5454545454545,,,37025,80613,-1.9812780875173885,-3.4502718991925
1975-12-01,ZSY00,490.625,490.625,440.25,445.875,-34.125,871.42622441409,608.8,346.1737755859099,871.42622441409,608.8,346.1737755859099,608.8,535.9636363636364,,,28717,86505,-2.132723579756423,-3.2951817593401724
1976-01-01,ZSY00,445.875,482.625,436.875,461.625,15.75,873.7574943183402,604.8,335.84250568165976,873.7574943183402,604.8,335.84250568165976,604.8,538.4863636363636,,,29203,69212,-2.091452742465897,-3.0521747860649233
1976-02-01,ZSY00,470.875,480.625,468.625,471,9.375,874.9444881157765,600.2,325.4555118842236,874.9444881157765,600.2,325.4555118842236,600.2,541.0204545454545,,,27327,62997,-1.8710900879516856,-2.7218957387583353
1976-03-01,ZSY00,472.875,475.875,454.25,458,-13,825.3096547563553,578.6,331.8903452436448,825.3096547563553,578.6,331.8903452436448,578.6,543.6090909090909,,,21122,66035,-1.727637716149573,-2.364797001027424
1976-04-01,ZSY00,460.25,479.625,458.625,472,14,806.4860458053593,565.75,325.0139541946408,806.4860458053593,565.75,325.0139541946408,565.75,546.6090909090909,,,27731,72955,-1.3747188827443892,-2.062420089346911
1976-05-01,ZSY00,474.25,572,474.25,572,100,749.8034585549809,551.2,352.59654144501917,749.8034585549809,551.2,352.59654144501917,551.2,551.3136363636364,,,48198,79080,0.11327298358209248,-1.698855867719406
1976-06-01,ZSY00,583,669.625,571.25,657,85,712.6318653293993,543.76875,374.90563467060065,712.6318653293993,543.76875,374.90563467060065,543.76875,557.8727272727273,,,62064,89836,2.416219559403281,-1.1869876487332038
1976-07-01,ZSY00,675,727.625,591.625,591.625,-65.375,673.4243006076005,535.21875,397.01319939239954,673.4243006076005,535.21875,397.01319939239954,535.21875,563.0068181818182,,,50253,99345,3.6577376380334314,-0.5546301017296168
1976-08-01,ZSY00,563.625,673,563.625,653.625,62,662.8063283434341,533.16875,403.531171656566,662.8063283434341,533.16875,403.531171656566,533.16875,569.225,,,42418,94009,4.7298999304628495,0.19105634471263183
1976-09-01,ZSY00,669.625,723,601.625,612,-41.625,665.0411431273269,533.86875,402.69635687267305,665.0411431273269,533.86875,402.69635687267305,533.86875,574.3545454545455,,,47229,96094,4.878953861878628,0.9701316160054153
1976-10-01,ZSY00,600,664,587,664,52,683.7978699416112,542.1875,400.5771300583887,683.7978699416112,542.1875,400.5771300583887,542.1875,580.2636363636364,,,57580,101772,4.979713454318578,1.755816748981468
1976-11-01,ZSY00,664,680.625,624.625,665,1,694.0717504260098,545.0875,396.1032495739902,694.0717504260098,545.0875,396.1032495739902,545.0875,586.1,,,57869,99514,4.835847188954915,2.5010320019710903
1976-12-01,ZSY00,669,701.625,669,701.625,36.625,716.600905095125,552.70625,388.81159490487494,716.600905095125,552.70625,388.81159490487494,552.70625,592.5431818181818,,,51018,108650,4.730262445073656,3.2185764643292267
1977-01-01,ZSY00,693.625,725.875,693.625,707.625,6,738.3079395872956,562.8875,387.46706041270454,738.3079395872956,562.8875,387.46706041270454,562.8875,599.0704545454546,,,66356,91808,4.4532285144288295,3.8661261751262512
1977-02-01,ZSY00,700.625,762.625,700,762.625,55,769.240827599915,575.6875,382.13417240008505,769.240827599915,575.6875,382.13417240008505,575.6875,606.5204545454545,,,53980,90867,4.5307113088784305,4.356952655714733
1977-03-01,ZSY00,776,880.625,776,880.625,118,825.697914217513,590.8875,356.07708578248713,825.697914217513,590.8875,356.07708578248713,590.8875,616.2431818181818,,,88051,105837,5.5020137284977935,4.699818674503012
1977-04-01,ZSY00,907.625,1046.25,904,983,102.375,901.8261351147219,612.70625,323.58636488527804,901.8261351147219,612.70625,323.58636488527804,612.70625,627.5159090909091,,,94148,114775,6.923002087013657,5.062625835500815
1977-05-01,ZSY00,983,1027.625,909,951,-32,955.3775157210782,632.5625,309.7474842789217,955.3775157210782,632.5625,309.7474842789217,632.5625,638.4681818181818,,,67621,96085,7.512034532108572,5.37175190235034
1977-06-01,ZSY00,964,964,715,755,-196,964.21143023167,647.2625,330.31356976833007,964.21143023167,647.2625,330.31356976833007,647.2625,645.3795454545455,,,72360,91802,5.218746567405113,5.409506647408838
1977-07-01,ZSY00,725,725,572.625,591,-164,961.6347132149823,652.8125,343.9902867850177,961.6347132149823,652.8125,343.9902867850177,652.8125,648.4659090909091,,,49353,81330,1.0728308229729961,4.975408577259329
1977-08-01,ZSY00,563.625,626,524.625,532.625,-58.375,956.516472738682,657.15,357.783527261318,956.516472738682,657.15,357.783527261318,657.15,649.3863636363636,,,40288,82940,-3.1964731216620237,4.082928542746336
1977-09-01,ZSY00,552,552,492.25,509.25,-23.375,953.3449332564985,659.53125,365.71756674350155,953.3449332564985,659.53125,365.71756674350155,659.53125,646.8454545454546,,,45291,87391,-6.662432995498278,2.817073493793899
1977-10-01,ZSY00,510.875,527.625,482.625,525.875,16.625,949.9560038914631,662.275,374.5939961085369,949.9560038914631,662.275,374.5939961085369,662.275,646.5159090909091,,,52070,94510,-8.807460703693614,1.3436635806691828
1977-11-01,ZSY00,543.625,610,543.625,573.875,48,943.4654578938128,668.06875,392.6720421061873,943.4654578938128,668.06875,392.6720421061873,668.06875,643.1568181818182,,,74234,105956,-9.336480118249384,-0.19713546678946317
1977-12-01,ZSY00,575.625,603.625,570.875,587,13.125,937.137823025009,673.81875,410.4996769749911,937.137823025009,673.81875,410.4996769749911,673.81875,632.7931818181818,,,53587,120741,-8.701694259896108,-1.7753252432776745
1978-01-01,ZSY00,580.875,587.875,544.25,547.875,-39.125,937.9991389345929,672.6125,407.225861065407,937.9991389345929,672.6125,407.225861065407,672.6125,626.209090909091,,,56727,98231,-7.648879277718834,-3.3944231726923957
1978-02-01,ZSY00,548.875,572.625,543.625,566.875,19,937.4316604587052,668.10625,398.7808395412949,937.4316604587052,668.10625,398.7808395412949,668.10625,620.1522727272727,,,46811,91394,-5.973378992187655,-4.892802453169754
1978-03-01,ZSY00,589.875,720,587.25,669.625,102.75,939.0379367316499,672.00625,404.97456326835015,939.0379367316499,672.00625,404.97456326835015,672.00625,618.6909090909091,,,91948,92330,-3.211112839033113,-5.829453498329557
1978-04-01,ZSY00,639.625,719.25,639.625,693.25,23.625,941.0322633356625,673.9875,406.9427366643375,941.0322633356625,673.9875,406.9427366643375,673.9875,620.0227272727273,,,82422,95786,-0.46928901288495695,-6.000800146758219
1978-05-01,ZSY00,699.625,734.625,690,725,31.75,945.9778473471491,679.6375,413.29715265285097,945.9778473471491,679.6375,413.29715265285097,679.6375,623.459090909091,,,69446,98719,1.8833692310098655,-5.436373218683564
1978-06-01,ZSY00,720.625,720.625,653,682,-43,946.782031633985,680.5375,414.2929683660151,946.782031633985,680.5375,414.2929683660151,680.5375,624.9931818181818,,,68034,102095,2.9737853413125137,-4.365682292371254
1978-07-01,ZSY00,665,693.25,623,639.625,-42.375,946.0386798435825,679.26875,412.49882015641737,946.0386798435825,679.26875,412.49882015641737,679.26875,626.1568181818182,,,53232,92939,2.8280320664953393,-3.072849762350259
1978-08-01,ZSY00,637.875,678,604.25,655.625,16,943.7212204079608,676.96875,410.2162795920392,943.7212204079608,676.96875,410.2162795920392,676.96875,626.459090909091,,,51561,92917,2.393598986485088,-1.7695076396019844
1978-09-01,ZSY00,659.625,674.625,626.625,641,-14.625,940.439450189649,673.6375,406.835549810351,940.439450189649,673.6375,406.835549810351,673.6375,627.0068181818182,,,51229,105953,1.693698314013659,-0.614464020278677
1978-10-01,ZSY00,651.625,713.625,651.625,700.625,59.625,934.557860247084,670.5375,406.517139752916,934.557860247084,670.5375,406.517139752916,670.5375,628.6795454545454,,,86444,128928,1.5781204661924093,0.4107581734892389
1978-11-01,ZSY00,684,697,641.625,673,-27.625,906.0211122083888,660.15625,414.2913877916112,906.0211122083888,660.15625,414.2913877916112,660.15625,631.0818181818182,,,79836,141068,1.185323522752313,1.2061695640381243
1978-12-01,ZSY00,673,697.625,659,672.625,-0.375,841.2886648198403,644.6375,447.98633518015976,841.2886648198403,644.6375,447.98633518015976,644.6375,633.4636363636364,,,70214,149456,0.7750426676413866,1.649075731446402
1979-01-01,ZSY00,671.625,700.875,665,693,20.375,772.1021345238001,631.7375,491.37286547619976,772.1021345238001,631.7375,491.37286547619976,631.7375,635.8272727272728,,,67294,122579,0.7152623759859438,1.7806925524320576
1979-02-01,ZSY00,692.625,755,692.625,737.25,44.25,768.2797229495861,630.85,493.4202770504139,768.2797229495861,630.85,493.4202770504139,630.85,633.05,,,106054,138169,1.3434353576047968,1.7206998998314944
1979-03-01,ZSY00,741.625,767.875,722.25,757.25,20,785.7514682922969,639.1625,492.5735317077032,785.7514682922969,639.1625,492.5735317077032,639.1625,633.5636363636364,,,74966,130335,2.2417739977114266,1.6393653060980402
1979-04-01,ZSY00,760,760,707,707,-50.25,788.7166032276253,647.88125,507.0458967723747,788.7166032276253,647.88125,507.0458967723747,647.88125,630.7272727272727,,,77127,124000,2.162133233877377,1.5653765469182668
1979-05-01,ZSY00,708.25,727,700.25,725,18,787.9546800881191,658.66875,529.382819911881,787.9546800881191,658.66875,529.382819911881,658.66875,629.2613636363636,,1223.75,67022,109090,1.946597926896807,1.5157097625195688
1979-06-01,ZSY00,720.25,853,720.25,735.625,10.625,787.1923375696497,669.15625,551.1201624303503,787.1923375696497,669.15625,551.1201624303503,669.15625,628.7704545454545,,1223.75,104469,120594,1.760909932068536,1.5231777200812218
1979-07-01,ZSY00,740,777,703.25,709.625,-26,786.6689863680024,675.94375,565.2185136319977,786.6689863680024,675.94375,565.2185136319977,675.94375,629.0431818181818,,1223.75,79693,108980,1.165885013945534,1.4773737809426801
1979-08-01,ZSY00,714.625,734,687.625,721.625,12,787.1450734660409,682.675,578.204926533959,787.1450734660409,682.675,578.204926533959,682.675,631.290909090909,,1223.75,49444,97253,0.6834932396375777,1.4216148605965984
1979-09-01,ZSY00,694.25,725.625,690.875,697.25,-24.375,774.4001768691119,690.14375,605.887323130888,774.4001768691119,690.14375,605.887323130888,690.14375,634.9204545454545,,1223.75,61480,100826,-0.1329699855541051,1.3207245657970992
1979-10-01,ZSY00,706.625,706.625,607.875,611,-86.25,765.1056527013537,692.35,619.5943472986463,765.1056527013537,692.35,619.5943472986463,692.35,634.9931818181818,,1223.75,68438,111762,-2.1253596009369744,1.0050999016945528
1979-11-01,ZSY00,608.25,655.875,608.25,655.875,44.875,765.5156947514798,691.6625,617.8093052485202,765.5156947514798,691.6625,617.8093052485202,691.6625,636.9318181818181,,1223.75,59337,118185,-3.215065049651926,0.49859985644380583
1979-12-01,ZSY00,654.875,654.875,616.25,616.25,-39.625,768.6327287487483,687.8125,606.9922712512517,768.6327287487483,687.8125,606.9922712512517,687.8125,638.9727272727273,,1223.75,56291,135457,-4.144834890559217,-0.21102335336404346
1980-01-01,ZSY00,616.625,648,563,648,31.75,764.6659347162498,683.9625,603.2590652837501,764.6659347162498,683.9625,603.2590652837501,683.9625,641.5431818181818,,1223.75,58576,98179,-4.204478363697177,-0.9184246419834383
1980-02-01,ZSY00,643.625,656.25,620.625,625.25,-22.75,765.7979000330093,681.125,596.4520999669907,765.7979000330093,681.125,596.4520999669907,681.125,642.4272727272727,,1223.75,58314,110982,-4.138836156939242,-1.594583984631888
1980-03-01,ZSY00,629.625,635.25,567,567,-58.25,774.3297413397389,677.49375,580.657758660261,774.3297413397389,677.49375,580.657758660261,677.49375,642.7977272727272,,1223.75,53484,101370,-4.581275517377605,-2.2992712567925704
1980-04-01,ZSY00,568.625,598.25,568.625,586.625,19.625,778.3767587687977,674.04375,569.7107412312024,778.3767587687977,674.04375,569.7107412312024,674.04375,643.3931818181818,,1223.75,57817,102491,-4.5560945010629865,-2.935046758460184
1980-05-01,ZSY00,583.25,614.875,583.25,600.875,14.25,780.303985465263,672.0375,563.771014534737,780.303985465263,672.0375,563.771014534737,672.0375,645.9363636363636,,1223.75,55447,100280,-3.9257042214377478,-3.4471798096907755
1980-06-01,ZSY00,592.25,654,592.25,654,53.125,777.4165754973728,669.70625,561.9959245026271,777.4165754973728,669.70625,561.9959245026271,669.70625,649.1,,1223.75,68617,108952,-2.2201902390572457,-3.679093171191125
1980-07-01,ZSY00,658.625,779.625,658.625,748.625,94.625,786.5705972117407,673.4875,560.4044027882592,786.5705972117407,673.4875,560.4044027882592,673.4875,654.6045454545455,,1223.75,123663,133882,0.6465539290767026,-3.3711027789673826
1980-08-01,ZSY00,769.625,769.875,704.875,769.875,21.25,798.9782408891052,678.35,557.7217591108948,798.9782408891052,678.35,557.7217591108948,678.35,660.209090909091,,1223.75,99525,143391,3.462617883912543,-2.6291380085713305
1980-09-01,ZSY00,789.625,811.625,749.625,772,2.125,809.5788375968291,682.3,555.0211624031708,809.5788375968291,682.3,555.0211624031708,682.3,665.6818181818181,,1223.75,124648,167296,5.52548039558593,-1.554658532332981
1980-10-01,ZSY00,772.625,861,752.25,861,89,836.2359327328043,688.4875,540.7390672671957,836.2359327328043,688.4875,540.7390672671957,688.4875,673.0090909090909,,1223.75,134019,198890,7.684638244528138,-0.2336455758635015
1980-11-01,ZSY00,879.625,905,822,893,32,865.7588262123419,695.275,524.7911737876581,865.7588262123419,695.275,524.7911737876581,695.275,680.6636363636363,,1223.75,156116,213997,9.413153786005005,1.2721310844636369
1980-12-01,ZSY00,868,868,697,770.875,-122.125,872.0760992647993,698.46875,524.8614007352007,872.0760992647993,698.46875,524.8614007352007,698.46875,684.2795454545454,,1223.75,137016,216783,8.265087054117657,2.699504703518666
1981-01-01,ZSY00,798,800.875,683,693.25,-77.625,870.0692886133812,696.88125,523.6932113866188,870.0692886133812,696.88125,523.6932113866188,696.88125,684.9386363636364,,1223.75,110628,152086,5.171831560701662,3.7803853770480718
1981-02-01,ZSY00,710.625,747.625,710.625,725,31.75,869.1240865986564,696.35,523.5759134013437,869.1240865986564,696.35,523.5759134013437,696.35,687.3636363636364,,1223.75,85761,123672,2.2286541634211403,4.464202975365726
1981-03-01,ZSY00,693.875,769.625,688.625,769.625,44.625,875.0016011882612,699.35,523.6983988117388,875.0016011882612,699.35,523.6983988117388,699.35,689.4727272727273,,1223.75,87205,111271,0.29452586273869485,4.743615875565275
1981-04-01,ZSY00,760.625,792.625,752.625,774.625,5,880.492086659325,702,523.507913340675,880.492086659325,702,523.507913340675,702,692.4295454545454,,1223.75,87315,117300,-0.8572497548453555,4.5765265773517125
1981-05-01,ZSY00,774.25,774.25,739.625,749.875,-24.75,884.3132516550072,704.63125,524.9492483449928,884.3132516550072,704.63125,524.9492483449928,704.63125,693.9909090909091,,1223.75,78334,103302,-1.8051927831455714,3.9912142810119224
1981-06-01,ZSY00,738,738,665.25,676.625,-73.25,882.9726700130558,707.9125,532.8523299869443,882.9726700130558,707.9125,532.8523299869443,707.9125,694.2022727272728,,1223.75,86121,103528,-3.3081296683538852,3.009702051685276
1981-07-01,ZSY00,690.875,753.25,690.875,725.25,48.625,884.9222299406181,711.38125,537.840270059382,884.9222299406181,711.38125,537.840270059382,711.38125,694.6318181818182,,1223.75,87649,99432,-3.766180736091293,1.7373888316164505
1981-08-01,ZSY00,710.625,710.625,646.625,650.625,-74.625,883.4905183688342,713.1,542.7094816311659,883.4905183688342,713.1,542.7094816311659,713.1,693.5954545454546,,1223.75,74232,90464,-4.325654862324562,0.2108545373576097
1981-09-01,ZSY00,650.25,655.25,618.625,623,-27.625,884.4845236330208,711.85,539.2154763669793,884.4845236330208,711.85,539.2154763669793,711.85,691.0568181818181,,1223.75,69063,88043,-4.922152428994345,-1.2543942940992794
1981-10-01,ZSY00,620.625,644.875,616.25,627.625,4.625,884.3679392926124,711.96875,539.5695607073876,884.3679392926124,711.96875,539.5695607073876,711.96875,686.4568181818182,,1125,74307,94581,-5.2566556776889755,-2.413115098364906
1981-11-01,ZSY00,633,639.25,621,632.625,5,878.7563072177951,715.25,551.7436927822049,878.7563072177951,715.25,551.7436927822049,715.25,680.0863636363637,,1095,75298,97199,-5.22616357827399,-3.241428180775476
1981-12-01,ZSY00,643.625,655.625,601.875,605.5,-27.125,876.913643662079,716.19375,555.473856337921,876.913643662079,716.19375,555.473856337921,716.19375,673.8045454545454,,1041.25,78861,96499,-5.203092471335346,-3.852274662339258
1982-01-01,ZSY00,607.25,645.5,607.25,643.75,38.25,873.9088280942217,718.3375,562.7661719057783,873.9088280942217,718.3375,562.7661719057783,718.3375,671.7818181818182,,1041.25,62402,80844,-4.336505421788573,-4.2388586253329485
1982-02-01,ZSY00,645,645,596.75,615.5,-28.25,876.0209682120594,716.4125,556.8040317879406,876.0209682120594,716.4125,556.8040317879406,716.4125,672.2272727272727,,1041.25,72995,81305,-3.563428601162286,-4.43421816066814
1982-03-01,ZSY00,618.25,631,597.25,609.5,-6,874.8643301192916,709.45625,544.0481698807083,874.8643301192916,709.45625,544.0481698807083,709.45625,673.625,,1041.25,77872,78607,-2.968689559713482,-4.396502593041428
1982-04-01,ZSY00,613,643,613,634,24.5,868.746385055113,702.6625,536.578614944887,868.746385055113,702.6625,536.578614944887,702.6625,675.8931818181818,,1041.25,84552,92145,-1.9670350646668382,-4.196597518438711
1982-05-01,ZSY00,635.5,648.5,612.5,612.5,-21.5,862.0008941888694,694.6875,527.3741058111306,862.0008941888694,694.6875,527.3741058111306,694.6875,677.4681818181818,,1041.25,70339,83737,-1.3163954858922153,-3.8622353655017836
1982-06-01,ZSY00,598.5,628.5,596.5,598.5,-14,835.2607331551017,681.5625,527.8642668448983,835.2607331551017,681.5625,527.8642668448983,681.5625,677.915909090909,,1041.25,77189,78210,-1.101838412066357,-3.4377560302875625
1982-07-01,ZSY00,605,620,586.5,586.5,-12,790.936886024952,666.2375,541.538113975048,790.936886024952,666.2375,541.538113975048,666.2375,677.9068181818182,,1041.25,76516,74810,-1.2204402266855752,-2.9892876468427403
1982-08-01,ZSY00,592,592,527,550.5,-36,779.9324941052508,655.21875,530.5050058947492,779.9324941052508,655.21875,530.5050058947492,655.21875,677.9545454545455,,1041.25,69499,76042,-1.8765997614210406,-2.6171138894146346
1982-09-01,ZSY00,551,553.5,500,500,-50.5,785.9462753534773,645.55625,505.16622464652266,785.9462753534773,645.55625,505.16622464652266,645.55625,676.7386363636364,,1041.25,60895,71033,-3.144309301753836,-2.3883602039055782
1982-10-01,ZSY00,493,522,483.5,515.5,15.5,781.3382856213676,635.08125,488.8242143786323,781.3382856213676,635.08125,488.8242143786323,635.08125,673.9363636363636,,1041.25,76453,79562,-3.8362742614786782,-2.3327789638711454
1982-11-01,ZSY00,522,563.5,522,556,40.5,760.6539127878535,624.4,488.1460872121464,760.6539127878535,624.4,488.1460872121464,624.4,671.4409090909091,,1041.25,85646,85017,-3.235277474121901,-2.296317727533325
1982-12-01,ZSY00,557,560,544.5,551,-5,734.1693565249365,613.21875,492.26814347506354,734.1693565249365,613.21875,492.26814347506354,613.21875,668.2772727272727,,1041.25,60916,87664,-2.354312430494616,-2.228053602064562
1983-01-01,ZSY00,550,576,549,576,25,708.7784651702283,604.525,500.2715348297717,708.7784651702283,604.525,500.2715348297717,604.525,666.35,,1041.25,75092,88565,-0.9250601355786827,-2.112278609943656
1983-02-01,ZSY00,573,581,547.5,547.5,-28.5,699.6204140373263,598.06875,496.51708596267366,699.6204140373263,598.06875,496.51708596267366,598.06875,664.675,,1041.25,80421,91366,-0.022529503605390744,-1.9685157230228976
1983-03-01,ZSY00,551,613.5,551,612.5,65,676.0509424698363,592.43125,508.81155753016367,676.0509424698363,592.43125,508.81155753016367,592.43125,663.8909090909091,,1041.25,73864,83295,1.8042231737467418,-1.6456199912658864
1983-04-01,ZSY00,618.5,632.5,604.5,629.5,17,672.5248998767097,591.375,510.22510012329036,672.5248998767097,591.375,510.22510012329036,591.375,663.6818181818181,,1041.25,83503,101162,3.7578760703677574,-1.0924737360377383
1983-05-01,ZSY00,626,626,566,594.5,-35,669.8193229594442,589.95,510.0806770405559,669.8193229594442,589.95,510.0806770405559,589.95,661.7522727272727,,1041.25,81120,92516,4.555752053710016,-0.37776797880095436
1983-06-01,ZSY00,596,610,571.5,595,0.5,666.3551787929042,588.31875,510.2823212070959,666.3551787929042,588.31875,510.2823212070959,588.31875,660.334090909091,,1041.25,80160,84004,4.582459266134855,0.4807618620755668
1983-07-01,ZSY00,599,689.5,596,676,81,675.433729315962,590.4875,505.54127068403795,675.433729315962,590.4875,505.54127068403795,590.4875,660.3954545454545,,1041.25,124488,91094,5.477765977659885,1.5156552219798516
1983-08-01,ZSY00,705.5,911,705.5,873,197,753.588539401969,603.8625,454.1364605980309,753.588539401969,603.8625,454.1364605980309,603.8625,663.6681818181818,,1041.25,153034,134064,8.230086056128954,2.7895845031188355
1983-09-01,ZSY00,835.5,925.5,816,850,-23,797.9983595058038,614.175,430.3516404941961,797.9983595058038,614.175,430.3516404941961,614.175,665.7181818181818,,1041.25,149558,142990,10.202338778176362,4.184767970748944
1983-10-01,ZSY00,841,868,789,802,-48,824.7423911605107,623.5,422.2576088394893,824.7423911605107,623.5,422.2576088394893,623.5,666.5318181818182,,1041.25,153735,149794,10.365512919266386,5.439276087953952
1983-11-01,ZSY00,815,848.5,754,781.5,-20.5,844.6000235294105,632.1,419.5999764705896,844.6000235294105,632.1,419.5999764705896,632.1,667.8863636363636,,1041.25,129389,131060,9.188969316043398,6.462775956803817
1983-12-01,ZSY00,799.5,817.5,748,809.5,28,867.0202796323638,640.875,414.7297203676362,867.0202796323638,640.875,414.7297203676362,640.875,669.4227272727272,,1041.25,106847,126396,7.858853350380151,7.135512643096417
1984-01-01,ZSY00,775,785.5,719.5,725,-84.5,875.1252392016245,646.5,417.8747607983755,875.1252392016245,646.5,417.8747607983755,646.5,669.2295454545455,,1041.25,105023,111745,5.243008070790026,7.300527309810004
1984-02-01,ZSY00,733,751.5,689,751.5,26.5,886.0543121634438,654.15,422.24568783655616,886.0543121634438,654.15,422.24568783655616,654.15,669.9909090909091,,1041.25,104928,108821,2.8294308185243437,7.108713839233818
1984-03-01,ZSY00,751.5,796.5,751.5,780.5,29,899.8178156020435,663.85,427.8821843979565,899.8178156020435,663.85,427.8821843979565,663.85,671.0613636363636,,1041.25,109237,112840,1.0650505096362153,6.717890644067302
1984-04-01,ZSY00,785,799.5,762.5,769.5,-11,909.0305274724027,674.8,440.5694725275972,909.0305274724027,674.8,440.5694725275972,674.8,672.375,,1041.25,98900,107082,-0.3763804157947561,6.067429933683453
1984-05-01,ZSY00,780,881,780,835,65.5,921.2530474329847,691.55,461.84695256701525,921.2530474329847,691.55,461.84695256701525,691.55,676.4477272727273,,1041.25,132726,109301,-0.4934175175565372,5.09815175882951
