"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1979-05-01,ZCY00,263,269.75,260,269,7.5,68197,163901
1979-06-01,ZCY00,265,312.5,265,292.75,23.75,108662,181509
1979-07-01,ZCY00,293.5,311.5,272.5,279.5,-13.25,110593,185745
1979-08-01,ZCY00,286.75,288.5,275.25,288.5,9,69545,179572
1979-09-01,ZCY00,278.5,283.75,273,280.75,-7.75,66003,169613
1979-10-01,ZCY00,286.5,286.75,244,249.5,-31.25,78635,174418
1979-11-01,ZCY00,248.75,270.5,248.75,270.5,21,72333,181148
1979-12-01,ZCY00,269.25,275.75,263.75,271,0.5,53817,163432
1980-01-01,ZCY00,262.5,262.5,230.25,260.75,-10.25,59765,147567
1980-02-01,ZCY00,262.5,268,261.75,263,2.25,64493,169917
1980-03-01,ZCY00,261.75,266.5,249.25,249.25,-13.75,66539,157850
1980-04-01,ZCY00,255,268.75,255,260.75,11.5,70291,164454
1980-05-01,ZCY00,265.25,274.75,265.25,266.75,6,62190,152371
1980-06-01,ZCY00,263.75,276.75,263.75,276.5,9.75,64796,149789
1980-07-01,ZCY00,280.75,327.25,280.75,327.25,50.75,122224,173572
1980-08-01,ZCY00,331.75,351.5,325.5,351.5,24.25,139243,250558
1980-09-01,ZCY00,354,354,333,336.75,-14.75,119746,280160
1980-10-01,ZCY00,336.5,354.25,331,348.5,11.75,114947,290363
1980-11-01,ZCY00,347.25,369,332,369,20.5,143443,323467
1980-12-01,ZCY00,369,369,333.5,362,-7,114799,277357
1981-01-01,ZCY00,365.75,365.75,341,342.75,-19.25,90431,252107
1981-02-01,ZCY00,343.75,354.5,343.75,349.75,7,94632,233761
1981-03-01,ZCY00,343.25,354.5,342.25,352.75,3,91557,205733
1981-04-01,ZCY00,350.25,357.5,347,355,2.25,99470,187695
1981-05-01,ZCY00,355,355,340.5,348.75,-6.25,77348,154713
1981-06-01,ZCY00,346.5,350,323.5,325,-23.75,84239,140715
1981-07-01,ZCY00,331.5,360.25,331.5,335.5,10.5,99429,115127
1981-08-01,ZCY00,332.5,332.5,279.75,285.25,-50.25,96364,130527
1981-09-01,ZCY00,286.25,291.25,257.5,259.75,-25.5,69065,122966
1981-10-01,ZCY00,258.5,268.75,252,255.75,-4,56854,137950
1981-11-01,ZCY00,259,265.5,257.75,259,3.25,78264,144594
1981-12-01,ZCY00,264.5,265.25,242,251.5,-7.5,72746,122533
1982-01-01,ZCY00,254.5,267,254.5,266,14.5,56232,134582
1982-02-01,ZCY00,269.25,269.25,259.5,260,-6,67797,134123
1982-03-01,ZCY00,261.25,273,261.25,271.75,11.75,63379,124038
1982-04-01,ZCY00,271.25,280.25,271.25,278.5,6.75,63904,128643
1982-05-01,ZCY00,278.5,282,275,275,-3.5,55094,116561
1982-06-01,ZCY00,272.75,284,268.75,268.75,-6.25,64773,112696
1982-07-01,ZCY00,269.25,275.5,248.25,249.5,-19.25,59459,112139
1982-08-01,ZCY00,250.75,252.75,231.75,243.5,-6,64580,120004
1982-09-01,ZCY00,246.5,247.25,224.5,226,-17.5,59568,117949
1982-10-01,ZCY00,224,230.75,204,214.25,-11.75,61695,127044
1982-11-01,ZCY00,215.25,244.25,215.25,242.5,28.25,92682,138232
1982-12-01,ZCY00,244,248,239.75,242.75,0.25,51322,131411
1983-01-01,ZCY00,244.25,268.75,240.75,268.75,26,69298,143284
1983-02-01,ZCY00,271.5,286.5,269.75,272.5,3.75,91855,160106
1983-03-01,ZCY00,281,322.75,281,322.75,50.25,93138,163404
1983-04-01,ZCY00,326.25,330.75,318.5,329.25,6.5,88791,173272
1983-05-01,ZCY00,331.25,331.25,313.25,323.5,-5.75,75109,161106
1983-06-01,ZCY00,321.5,334.25,321.5,327,3.5,81882,150831
1983-07-01,ZCY00,325,350.75,321.25,350.25,23.25,112544,145468
1983-08-01,ZCY00,352.25,383.75,352.25,366.25,16,129249,198961
1983-09-01,ZCY00,360.75,374.75,351,360.75,-5.5,112060,226302
1983-10-01,ZCY00,358.75,363.75,337.5,344.75,-16,98663,229582
1983-11-01,ZCY00,346.75,358.25,337.5,345.5,0.75,107562,233447
1983-12-01,ZCY00,347,347,332,335.25,-10.25,68998,215109
1984-01-01,ZCY00,326.75,335.25,324.25,333.25,-2,67018,207433
1984-02-01,ZCY00,332.5,336.75,320.5,336.75,3.5,77324,199144
1984-03-01,ZCY00,336,364.25,336,360.25,23.5,77236,199506
1984-04-01,ZCY00,362.75,367.75,348.5,348.5,-11.75,89330,200700
1984-05-01,ZCY00,349.75,370.25,349.75,360.5,12,77434,161547
1984-06-01,ZCY00,360.5,368.25,355.25,364.25,3.75,78305,151804
1984-07-01,ZCY00,361.25,361.25,321,330.25,-34,92714,136379
1984-08-01,ZCY00,327.25,343.75,326.25,326.5,-3.75,69131,144703
1984-09-01,ZCY00,323.25,350.25,287.5,287.5,-39,69234,139645
